snapshot,ES00,ITN1,ITCN,ITCS,ITS1,ITCA,ITSI,ITSA
2013-06-15 09:00:00,37912.19590774536,24936.008183746337,6197.206425285339,8313.769645462036,3617.756031761169,1527.1231785202026,3219.7404193115235,1600.8360557174683
2013-06-15 10:00:00,38282.033407402036,24425.02435768127,6070.214467849732,8143.405562477112,3543.621672744751,1495.8296658706665,3153.76215637207,1568.032036743164
2013-06-15 11:00:00,38767.445212860104,23533.789036979673,5848.720770606994,7846.2640001296995,3414.31981716156,1441.248959159851,3038.68572101593,1510.8167150115967
2013-06-15 12:00:00,37909.62765872955,22694.315698738097,5640.091142730713,7566.3800269699095,3292.527693901062,1389.8381797790528,2930.2928289413453,1456.9244088745118
2013-06-15 13:00:00,36315.987564086914,22409.624800224305,5569.338490333557,7471.462845001221,3251.2242614364623,1372.403203239441,2893.533476333618,1438.6478732681273
2013-06-15 14:00:00,35192.34946979523,22623.308859024048,5622.44421634674,7542.706013908386,3282.225904121399,1385.4895861816406,2921.124418029785,1452.3659321594237
2013-06-15 15:00:00,35084.48007156372,22702.942717552185,5642.2351609802245,7569.2563587188715,3293.779317626953,1390.3664993286131,2931.4067444610596,1457.4782314300537
2013-06-15 16:00:00,34994.58911872864,23057.976886024473,5730.469822998047,7687.626183242797,3345.288236427307,1412.1093870544432,2977.248829116821,1480.2706350708006
2013-06-15 17:00:00,34921.39208045959,23375.84865005493,5809.468724899291,7793.605991325378,3391.405576972961,1431.5763672637938,3018.292425880432,1500.6773037338255
2013-06-15 18:00:00,34804.53363510132,23215.25369316101,5769.556951942443,7740.0629319000245,3368.106213302612,1421.7412965393066,2997.5564052581785,1490.3674477005004
2013-06-15 19:00:00,35255.27310066223,23524.498538703916,5846.41181552887,7843.166438331604,3412.971940155029,1440.6799672317504,3037.4861266326902,1510.2202536773682
2013-06-15 20:00:00,35932.024268455505,22272.919989852904,5535.364031867981,7425.884960250854,3231.390928840637,1364.0311643218993,2875.8821556472776,1429.8717391204834
2013-06-15 21:00:00,33858.10927772522,20791.06700462341,5167.087432556152,6931.828899879455,3016.401320800781,1273.2800117492675,2684.5451409530638,1334.740089111328
2013-06-15 22:00:00,31791.898993911742,19244.179859275817,4782.648237991333,6416.090248031616,2791.9764432907104,1178.5460160064697,2484.8108652496335,1235.433380317688
2013-06-15 23:00:00,29738.53048690796,18003.21918899536,4474.239232902527,6002.348761749267,2611.935895805359,1102.5475297164917,2324.5778764724732,1155.7664742279053
2013-06-16 00:00:00,27939.425143661498,17267.26984577179,4291.337854118347,5756.980167617798,2505.1631970596313,1057.4767153549194,2229.5520107650755,1108.5201691818236
2013-06-16 01:00:00,26775.977930526733,17090.084571495056,4247.302991523742,5697.905875396728,2479.456869316101,1046.6255976486207,2206.6737878036497,1097.1452666854857
