bus,x,y
bus277,15.559586057845674,46.8001507680366
bus278,15.728161228720243,46.883120438782434
bus279,15.565688338784348,46.82797236208591
bus280,15.60186489375335,46.91116322815307
bus281,15.48387658654304,46.90962704319557
bus282,15.422853867972487,46.90335162270728
bus283,15.423314005504645,46.904142549766405
bus284,15.353630889216923,46.85438252039916
bus285,15.226635705367235,46.81809769430473
bus286,15.280882758069323,46.7514349410914
bus287,15.346200725915462,46.95598292711677
bus288,15.418245241407117,47.0343047641974
bus289,15.440964869514652,47.049582920877356
bus290,15.491918637494598,47.016415467738504
bus291,15.469203604975343,47.082690107269634
bus292,15.415967244021731,47.09449060308406
bus293,15.616253306288218,47.12870797455553
bus294,15.330272672978477,47.14433704317691
bus295,15.328238927458523,47.13169209590982
bus296,15.336577098314637,47.18639883339992
bus297,15.322794281994131,47.20557205795896
bus298,15.317295467769236,47.28040781028599
bus299,15.322615081724608,47.292660147988364
bus300,15.333831684951571,47.364860828940685
bus301,15.274127472010278,47.42329708286019
bus302,15.431078365954244,47.49948472883291
bus303,15.413213498942707,47.496232510990474
bus304,15.277329339609558,47.41825360753764
bus305,15.29600756719086,47.44176641279604
bus306,15.49878741586294,47.53432848696891
bus307,15.51590560956428,47.530967192215094
bus308,15.663794874428634,47.58838923899734
bus309,15.208352743004538,47.52090338501971
bus310,14.742582210747107,47.605606282755126
bus311,14.750518065632322,47.650685374635046
bus312,14.906013067039643,47.541809380740006
bus313,15.020592382953739,47.396867426673495
bus314,15.020592382953739,47.396867426673495
bus315,15.051727004046201,47.38787665003215
bus316,15.001623325116354,47.35881973919306
bus317,15.082493703030634,47.372693074425605
bus318,14.842351506712637,47.22089611021184
bus319,14.748077085172303,47.154980270441044
bus320,14.723224253680902,47.174225936056104
bus321,14.726092878203895,47.1811503215128
bus322,14.726092878203895,47.1811503215128
bus323,14.63676523943027,47.17408833165182
bus324,14.590325383158918,47.21408064835387
bus325,14.363422114217625,47.134304321494646
bus326,14.06545098247243,47.108190007675724
bus327,14.689418096056484,47.70364536982757
bus328,14.683560291877095,47.71343780655078
bus329,14.652881069334711,47.73836521570551
bus330,14.469136530446166,47.59285248751279
bus331,14.34845582117996,47.5891046905129
bus332,14.254230212761248,47.56632078441657
bus333,14.207749768040157,47.57449328438049
bus334,14.207749768040157,47.57449328438049
bus335,14.107326742799646,47.49072510181323
bus336,13.949003055568495,47.43408907108532
bus337,13.772588176690913,47.41379679733753
bus338,13.772588176690913,47.41379679733753
bus339,15.419353196183575,47.06569800801778
bus340,15.436535082301274,47.04847378297747
bus341,15.159068706331077,47.01855348057899
bus342,15.134797847945485,47.05578467983875
bus343,13.791468261590122,47.61307132764314
bus344,15.213786817778661,47.41006218703439
bus345,14.464580011656562,47.49459610680408
bus346,14.464580011656562,47.49459610680408
bus347,15.791220890149793,47.137211726561866
bus348,15.61924411323226,46.7223954305996
bus349,15.572403653607973,46.7456400235268
bus350,15.580587389400385,46.78560575408712
bus351,15.560725642178477,46.82543507674946
bus352,15.353191069211519,46.85435093663917
bus353,15.275782428189103,47.06223588400271
bus354,15.275767352840427,47.06224596663968
bus355,15.615598720464549,47.128496986595124
bus356,15.330554173264304,47.1854184081011
bus357,15.323588235650185,47.204952419154196
bus358,15.317427708186369,47.28041643640988
bus359,15.317441963608648,47.28040741764267
bus360,15.332767516776318,47.36487990540342
bus361,15.332754307538554,47.36487052905354
bus362,15.413034276272576,47.49641418406116
bus363,15.171477533511412,47.46753437768837
bus364,15.171489738425372,47.467542656770355
bus365,15.213657243181126,47.409985758422266
bus366,15.213659841281064,47.4099833014684
bus367,14.565817602435557,47.20403928337144
bus368,14.565831304093711,47.20402964531189
bus369,13.944629760051438,47.44305634164307
bus370,13.944643642884937,47.44304729170676
bus371,14.681670710091382,46.66843583589977
bus372,14.681670710091382,46.66843583589977
bus373,14.681670710091382,46.66843583589977
bus374,14.702411149297907,46.629973595092636
bus375,14.172929271763946,46.53585326152192
bus376,14.027944115628754,46.568293002037976
bus377,13.679733347428218,46.5431572201626
bus378,13.327716697020913,46.870932670976046
bus379,13.327716697020913,46.870932670976046
bus380,14.955632300139968,46.633955539657485
bus381,14.935608249691263,46.64333844167838
bus382,14.955988724081593,46.67287074630493
bus383,14.87440112163134,46.65855933713569
bus384,14.837951006972283,46.772065864310825
bus385,14.840240977712703,46.84776410650816
bus386,14.786294580975953,46.97075262128642
bus387,14.784721521386523,46.62850609332662
bus388,14.619118869109297,46.6609090092705
bus389,14.5383871118383,46.84138995111015
bus390,14.525462291022144,46.73271290815112
bus391,14.303320045180511,46.87832881752898
bus392,14.464126627008811,46.86053374260711
bus393,14.374346301467094,46.76133487107769
bus394,14.421094162104078,46.66728185237505
bus395,14.483087302612544,46.55962705260674
bus396,14.479839470346665,46.56199126853663
bus397,14.395752280723613,46.54507979824029
bus398,14.320148825209065,46.605720699086625
bus399,14.298116826333777,46.529188745415226
bus400,14.298881290590515,46.54549137298974
bus401,13.988943742851346,46.57804360930676
bus402,13.89315609812858,46.63163841600243
bus403,14.210234744487549,46.69018453708451
bus404,14.090508411181405,46.71971726255563
bus405,14.0728238599015,46.62252162380789
bus406,13.688134966137264,46.79893473802639
bus407,13.771828714453177,46.810557169049694
bus408,13.47702093694009,46.829945966834735
bus409,13.352733824655607,47.06567745195818
bus410,13.603571625180642,47.0294149605933
bus411,13.312539321770828,46.87237483385633
bus412,13.051954029729782,46.97741188910525
bus413,13.07160760140592,46.86746252565074
bus414,13.109998870958828,46.9339909033185
bus415,13.047071089573834,46.99239904585125
bus416,12.95698554233201,46.99538468455807
bus417,12.967089643879053,46.74207001958067
bus418,13.379900109275479,46.628610630831155
bus419,13.278921477055402,46.617790773694054
bus420,13.070902254532353,46.649119918277805
